City,Rate,County
Knightsen,8.75%,Contra Costa
Korbel,7.75%,Humboldt
Korbel,8.50%,Sonoma
Kyburz,7.25%,El Dorado
L.A. Airport (Los Angeles),9.50%,Los Angeles
La Canada- Flintridge,9.50%,Los Angeles
La Crescenta,9.50%,Los Angeles
La Cresta Village,8.25%,Kern
La Grange,7.88%,Stanislaus
La Habra Heights,9.50%,Los Angeles
La Habra,8.25%,Orange
La Honda,9.38%,San Mateo
La Jolla (San Diego),7.75%,San Diego
La Mesa,8.50%,San Diego
La Mirada,9.50%,Los Angeles
La Palma,8.75%,Orange
La Porte,7.25%,Plumas
La Puente,10.00%,Los Angeles
La Quinta,8.75%,Riverside
La Selva Beach,9.00%,Santa Cruz
La Verne,10.25%,Los Angeles
La Vina,9.50%,Los Angeles
Ladera,9.38%,San Mateo
Ladera Heights,9.50%,Los Angeles
Ladera Ranch,7.75%,Orange
Lafayette,8.75%,Contra Costa
Laguna Beach,7.75%,Orange
Laguna Hills,7.75%,Orange
Laguna Niguel,7.75%,Orange
Laguna Woods,7.75%,Orange
Lagunitas,8.25%,Marin
Lake Alpine,7.25%,Alpine
Lake Arrowhead,7.75%,San Bernardino
Lake City,7.25%,Modoc
Lake City,7.50%,Nevada
Lake Elsinore,8.75%,Riverside
Lake Forest,7.75%,Orange
Lake Hughes,9.50%,Los Angeles
Lake Isabella,8.25%,Kern
Lake Los Angeles,9.50%,Los Angeles
Lake Mary,7.25%,Mono
Lake San Marcos,7.75%,San Diego
Lake Shastina,7.25%,Siskiyou
Lake Sherwood,7.25%,Ventura
Lakehead,7.25%,Shasta
Lakeport,8.75%,Lake
Lakeshore,7.98%,Fresno
Lakeside,7.75%,San Diego
Lakeview,7.75%,Riverside
Lakeview Terrace (Los Angeles),9.50%,Los Angeles
Lakewood,10.25%,Los Angeles
Lamont,8.25%,Kern
Lancaster,10.25%,Los Angeles
Landers,7.75%,San Bernardino
Landscape,10.25%,Alameda
Lang,9.50%,Los Angeles
Larkfield,8.50%,Sonoma
Larkspur,9.25%,Marin
Larwin Plaza,7.38%,Solano
Lathrop,8.75%,San Joaquin
Laton,7.98%,Fresno
Lawndale,10.25%,Los Angeles
Laws,7.75%,Inyo
Laytonville,7.88%,Mendocino
Le Grand (Also Legrand),7.75%,Merced
Lebec,8.25%,Kern
Lee Vining,7.25%,Mono
Leggett,7.88%,Mendocino
Leisure World,7.75%,Orange
Leisure World (Seal Beach),8.75%,Orange
Lemon Cove,7.75%,Tulare
Lemon Grove,7.75%,San Diego
Lemoore,7.25%,Kings
Lennox,9.50%,Los Angeles
Lenwood,7.75%,San Bernardino
Leona Valley,9.50%,Los Angeles
Leucadia (Encinitas),7.75%,San Diego
Lewiston,7.25%,Trinity
Liberty Farms,7.38%,Solano
Likely,7.25%,Modoc
Lincoln Acres,7.75%,San Diego
Lincoln Heights (Los Angeles),9.50%,Los Angeles
Lincoln Village,7.75%,San Joaquin
Lincoln,7.25%,Placer
Linda,8.25%,Yuba
Linden,7.75%,San Joaquin
Lindsay,8.75%,Tulare
Linnell,7.75%,Tulare
Litchfield,7.25%,Lassen
Little Lake,7.75%,Inyo
Little Norway,7.25%,El Dorado
Little Valley,7.25%,Lassen
Littleriver,7.88%,Mendocino
Littlerock (Also Little Rock),9.50%,Los Angeles
Live Oak,9.00%,Santa Cruz
Live Oak,7.25%,Sutter
Livermore,10.25%,Alameda
Livingston,7.75%,Merced
Llano,9.50%,Los Angeles
Loch Lomond,7.25%,Lake
Locke,7.75%,Sacramento
Lockeford,7.75%,San Joaquin
Lockheed,9.00%,Santa Cruz
Lockwood,7.75%,Monterey
Lodi,8.25%,San Joaquin
Loleta,7.75%,Humboldt
Loma Linda,7.75%,San Bernardino
Loma Mar,9.38%,San Mateo
Loma Rica,8.25%,Yuba
Lomita,10.25%,Los Angeles
Lompoc,8.75%,Santa Barbara
London,7.75%,Tulare
Lone Pine,7.75%,Inyo
Long Barn,7.25%,Tuolumne
Long Beach,10.25%,Los Angeles
Longview,9.50%,Los Angeles
Lookout,7.25%,Modoc
Loomis,7.50%,Placer
Lorre Estates,9.13%,Santa Clara
Los Alamitos,9.25%,Orange
Los Alamos,7.75%,Santa Barbara
Los Altos Hills,9.13%,Santa Clara
Los Altos,9.13%,Santa Clara
Los Angeles,9.50%,Los Angeles
Los Banos,8.75%,Merced
Los Gatos,9.25%,Santa Clara
Los Molinos,7.25%,Tehama
Los Nietos,9.50%,Los Angeles
Los Olivos,7.75%,Santa Barbara
Los Osos,7.25%,San Luis Obispo
Los Padres,7.25%,San Luis Obispo
Los Serranos (Chino Hills),7.75%,San Bernardino
Lost Hills,8.25%,Kern
Lost Lake,7.75%,Riverside
Lotus,7.25%,El Dorado
Lower Lake,7.25%,Lake
Loyalton,7.25%,Sierra
Lucerne,7.25%,Lake
Lucerne Valley,7.75%,San Bernardino
Lucia,7.75%,Monterey
Ludlow,7.75%,San Bernardino
Lugo,9.50%,Los Angeles
Lynwood,10.25%,Los Angeles
Lytle Creek,7.75%,San Bernardino
Macdoel,7.25%,Siskiyou
Maclay,9.50%,Los Angeles
Mad River,7.25%,Trinity
Madeline,7.25%,Lassen
Madera,8.25%,Madera
Madison,7.25%,Yolo
Magalia,7.25%,Butte
Malaga,7.98%,Fresno
Malibu,10.00%,Los Angeles
Mammoth Lakes,7.75%,Mono
Manhattan Beach,9.50%,Los Angeles
Manteca,8.25%,San Joaquin
Manton,7.25%,Tehama
Manzanita Lake,7.25%,Shasta
Mar Vista,9.50%,Los Angeles
Marcelina,9.50%,Los Angeles
March A.F.B.,7.75%,Riverside
Mare Island (Vallejo),9.25%,Solano
Maricopa,7.25%,Kern
Marin City,8.25%,Marin
Marina Del Rey,9.50%,Los Angeles
Marina,9.25%,Monterey
Marine Corps (Twentynine Palms),7.75%,San Bernardino
Mariner,7.75%,Orange
Mariposa,8.75%,Mariposa
Markleeville,7.25%,Alpine
Marsh Manor,9.38%,San Mateo
Marshall,8.25%,Marin
Martell,7.75%,Amador
Martinez,9.75%,Contra Costa
Marysville,8.25%,Yuba
Mather,7.75%,Sacramento
Mather,7.25%,Tuolumne
Maxwell,7.75%,Colusa
Maywood,9.50%,Los Angeles
McArthur,7.25%,Shasta
McClellan,7.75%,Sacramento
McCloud,7.25%,Siskiyou
McFarland,8.25%,Kern
McKinleyville,7.75%,Humboldt
McKittrick,8.25%,Kern
Mead Valley,7.75%,Riverside
Meadow Valley,7.25%,Plumas
Meadow Vista,7.25%,Placer
Meadowbrook,7.75%,Riverside
Mecca,7.75%,Riverside
Meeks Bay,7.25%,El Dorado
Meiners Oaks,7.25%,Ventura
Mendocino,7.88%,Mendocino
Mendota,9.23%,Fresno
Menifee,8.75%,Riverside
Menlo Park,9.38%,San Mateo
Mentone,7.75%,San Bernardino
Merced,8.25%,Merced
Meridian,7.25%,Sutter
Mettler,8.25%,Kern
Meyers,7.25%,El Dorado
Mi-Wuk Village,7.25%,Tuolumne
Middletown,7.25%,Lake
Midland,7.75%,Riverside
Midpines,8.75%,Mariposa
Midway City,7.75%,Orange
Milford,7.25%,Lassen
Mill Creek,7.25%,Tehama
Mill Valley,8.25%,Marin
Millbrae,9.38%,San Mateo
Millville,7.25%,Shasta
Milpitas,9.38%,Santa Clara
Mineral,7.25%,Tehama
Mineral King,7.75%,Tulare
Mint Canyon,9.50%,Los Angeles
Mira Loma,7.75%,Riverside
Mira Vista,8.75%,Contra Costa
Miracle Hot Springs,8.25%,Kern
Miramar (San Diego),7.75%,San Diego
Miramonte,7.98%,Fresno
Miranda,7.75%,Humboldt
Mission Hills (Los Angeles),9.50%,Los Angeles
Mission Viejo,7.75%,Orange
Moccasin,7.25%,Tuolumne
Modesto,8.88%,Stanislaus
Moffett Field,9.13%,Santa Clara
Mojave,8.25%,Kern
Mokelumne Hill,7.25%,Calaveras
Monarch Beach (Dana Point),7.75%,Orange
Moneta,9.50%,Los Angeles
Mono Hot Springs,7.98%,Fresno
Mono Lake,7.25%,Mono
Monolith,8.25%,Kern
Monrovia,10.25%,Los Angeles
Monta Vista,9.13%,Santa Clara
Montague,7.25%,Siskiyou
Montalvo (Ventura),7.75%,Ventura
Montara,9.38%,San Mateo
Montclair,9.00%,San Bernardino
Monte Rio,8.50%,Sonoma
Monte Sereno,9.13%,Santa Clara
Montebello,10.25%,Los Angeles
Montecito,7.75%,Santa Barbara
Monterey Bay Academy,9.00%,Santa Cruz
Monterey Park,10.25%,Los Angeles
Monterey,9.25%,Monterey
Montgomery Creek,7.25%,Shasta
Montrose,9.50%,Los Angeles
Mooney,7.75%,Tulare
Moonridge,7.75%,San Bernardino
Moorpark,7.25%,Ventura
Moraga,9.75%,Contra Costa
Moreno Valley,7.75%,Riverside
Morgan Hill,9.13%,Santa Clara
Morongo Valley,7.75%,San Bernardino
Morro Bay,8.75%,San Luis Obispo
Morro Plaza,7.25%,San Luis Obispo
Moss Beach,9.38%,San Mateo
Moss Landing,7.75%,Monterey
Mount Hamilton,9.13%,Santa Clara
Mount Hebron,7.25%,Siskiyou
Mount Hermon,9.00%,Santa Cruz
Mount Laguna,7.75%,San Diego
Mount Shasta,7.50%,Siskiyou
Mount Wilson,9.50%,Los Angeles
Mountain Center,7.75%,Riverside
Mountain Mesa,8.25%,Kern
Mountain Pass,7.75%,San Bernardino
Mountain Ranch,7.25%,Calaveras
Mountain View,9.13%,Santa Clara
Mt. Aukum,7.25%,El Dorado
Mt. Baldy,7.75%,San Bernardino
Murphys,7.25%,Calaveras
Murrieta,8.75%,Riverside
Muscoy,7.75%,San Bernardino
Myers Flat,7.75%,Humboldt
Napa,7.75%,Napa
Naples,9.50%,Los Angeles
Nashville,7.25%,El Dorado
National City,8.75%,San Diego
Naval (Port Hueneme),8.75%,Ventura
Naval (San Diego),7.75%,San Diego
Naval Air Station (Alameda),10.75%,Alameda
Naval Air Station (Coronado),7.75%,San Diego
Naval Air Station (Lemoore),7.25%,Kings
Naval Hospital (Oakland),10.25%,Alameda
Naval Hospital (San Diego),7.75%,San Diego
Naval Supply Center (Oakland),10.25%,Alameda
Naval Training Center (San Diego),7.75%,San Diego
Navarro,7.88%,Mendocino
Needles,7.75%,San Bernardino
Nelson,7.25%,Butte
Nevada City,8.38%,Nevada
New Almaden,9.13%,Santa Clara
New Cuyama,7.75%,Santa Barbara
New Idria,8.25%,San Benito
Newark,10.75%,Alameda
Newberry,7.75%,San Bernardino
Newberry Springs,7.75%,San Bernardino
Newbury Park (Thousand Oaks),7.25%,Ventura
Newcastle,7.25%,Placer
Newhall (Santa Clarita),9.50%,Los Angeles
Newman,7.88%,Stanislaus
Newport Beach,7.75%,Orange
Nicasio,8.25%,Marin
Nice,7.25%,Lake
Nicolaus,7.25%,Sutter
Niland,7.75%,Imperial
Nipomo,7.25%,San Luis Obispo
Nipton,7.75%,San Bernardino
Norco,8.75%,Riverside
Norden,7.50%,Nevada
North Edwards,8.25%,Kern
North Fork,7.75%,Madera
North Gardena,9.50%,Los Angeles
North Highlands,7.75%,Sacramento
North Hills (Los Angeles),9.50%,Los Angeles
North Hollywood (Los Angeles),9.50%,Los Angeles
North Palm Springs,7.75%,Riverside
North San Juan,7.50%,Nevada
North Shore,7.75%,Riverside
Northridge (Los Angeles),9.50%,Los Angeles
Norton A.F.B. (San Bernardino),8.75%,San Bernardino
Norwalk,10.25%,Los Angeles
Novato,8.50%,Marin
Nubieber,7.25%,Lassen
Nuevo,7.75%,Riverside
Nyeland Acres,7.25%,Ventura
O'Brien,7.25%,Shasta
O'Neals,7.75%,Madera
Oak Park,7.25%,Ventura
Oak Run,7.25%,Shasta
Oak View,7.25%,Ventura
Oakdale,8.38%,Stanislaus
Oakhurst,7.75%,Madera
Oakland,10.25%,Alameda
Oakley,8.75%,Contra Costa
Oakville,7.75%,Napa
Oasis,7.75%,Riverside
Oban,9.50%,Los Angeles
Occidental,8.50%,Sonoma
Oceano,7.25%,San Luis Obispo
Oceanside,8.25%,San Diego
Ocotillo,7.75%,Imperial
Ocotillo Wells,7.75%,San Diego
Oildale,8.25%,Kern
Ojai,7.25%,Ventura
Olancha,7.75%,Inyo
Old Station,7.25%,Shasta
Olema,8.25%,Marin
Olinda,7.25%,Shasta
Olive View (Los Angeles),9.50%,Los Angeles
Olivehurst,8.25%,Yuba
Olivenhain (Encinitas),7.75%,San Diego
Olympic Valley,7.25%,Placer
Omo Ranch,7.25%,El Dorado
Ono,7.25%,Shasta
Ontario,8.75%,San Bernardino
Onyx,8.25%,Kern
Opal Cliffs,9.00%,Santa Cruz
Orange Cove,7.98%,Fresno
Orange,7.75%,Orange
Orangevale,7.75%,Sacramento
Orcutt,7.75%,Santa Barbara
Ordbend,7.25%,Glenn
Oregon House,8.25%,Yuba
Orick,7.75%,Humboldt
Orinda,9.75%,Contra Costa
Orland,7.75%,Glenn
Orleans,7.75%,Humboldt
Oro Grande,7.75%,San Bernardino
Orosi,7.75%,Tulare
Oroville,8.25%,Butte
Otay (Chula Vista),8.75%,San Diego
Oxnard,9.25%,Ventura
Pacheco,8.75%,Contra Costa
Pacific Grove,9.25%,Monterey
Pacific House,7.25%,El Dorado
Pacific Palisades (Los Angeles),9.50%,Los Angeles
Pacifica,9.88%,San Mateo
Pacoima (Los Angeles),9.50%,Los Angeles
Paicines,8.25%,San Benito
Pajaro,7.75%,Monterey
Pala,7.75%,San Diego
Palermo,7.25%,Butte
Pallett,9.50%,Los Angeles
Palm City,7.75%,Riverside
Palm City (San Diego),7.75%,San Diego
Palm Desert,7.75%,Riverside
Palm Springs,9.25%,Riverside
Palmdale,10.25%,Los Angeles
Palo Alto,9.13%,Santa Clara
Palo Cedro,7.25%,Shasta
Palo Verde,7.75%,Imperial
Palomar Mountain,7.75%,San Diego
Palos Verdes Estates,9.50%,Los Angeles
Palos Verdes/Peninsula,9.50%,Los Angeles
Panorama City (Los Angeles),9.50%,Los Angeles
Paradise,7.75%,Butte
Paramount,10.25%,Los Angeles
Parker Dam,7.75%,San Bernardino
Parkfield,7.75%,Monterey
Parlier,8.98%,Fresno
Pasadena,10.25%,Los Angeles
Paskenta,7.25%,Tehama
Paso Robles,8.75%,San Luis Obispo
Patterson,7.88%,Stanislaus
Patton,7.75%,San Bernardino
Pauma Valley,7.75%,San Diego
Paynes Creek,7.25%,Tehama
Pearblossom,9.50%,Los Angeles
Pearland,9.50%,Los Angeles
Pebble Beach,7.75%,Monterey
Pedley,7.75%,Riverside
Peninsula Village,7.25%,Plumas
Penn Valley,7.50%,Nevada
Penngrove,8.50%,Sonoma
Penryn,7.25%,Placer
Pepperwood,7.75%,Humboldt
Permanente,9.13%,Santa Clara
Perris,7.75%,Riverside
Perry (Whittier),10.25%,Los Angeles
Pescadero,9.38%,San Mateo
Petaluma,9.50%,Sonoma
Petrolia,7.75%,Humboldt
Phelan,7.75%,San Bernardino
Phillipsville,7.75%,Humboldt
Philo,7.88%,Mendocino
Pico Rivera,10.25%,Los Angeles
Piedmont,10.25%,Alameda
Piedra,7.98%,Fresno
Piercy,7.88%,Mendocino
Pilot Hill,7.25%,El Dorado
Pine Grove,7.75%,Amador
Pine Valley,7.75%,San Diego
Pinecrest,7.25%,Tuolumne
Pinedale (Fresno),8.35%,Fresno
Pinetree,9.50%,Los Angeles
Pinole,9.75%,Contra Costa
Pinon Hills,7.75%,San Bernardino
Pioneer,7.75%,Amador
Pioneertown,7.75%,San Bernardino
Piru,7.25%,Ventura
Pismo Beach,7.75%,San Luis Obispo
Pittsburg,9.25%,Contra Costa
Pixley,7.75%,Tulare
Placentia,8.75%,Orange
Placerville,8.25%,El Dorado
Plainview,7.75%,Tulare
Planada,7.75%,Merced
Plaster City,7.75%,Imperial
Platina,7.25%,Shasta
Playa Del Rey (Los Angeles),9.50%,Los Angeles
Pleasant Grove,7.25%,Sutter
Pleasant Hill,9.25%,Contra Costa
Pleasanton,10.25%,Alameda
Plymouth,7.75%,Amador
Point Arena,8.38%,Mendocino
Point Mugu,7.25%,Ventura
Point Reyes Station,8.25%,Marin
Pollock Pines,7.25%,El Dorado
Pomona,10.25%,Los Angeles
Pond,8.25%,Kern
Pondosa,7.25%,Siskiyou
Pope Valley,7.75%,Napa
Poplar,7.75%,Tulare
Port Costa,8.75%,Contra Costa
Port Hueneme,8.75%,Ventura
Porter Ranch (Los Angeles),9.50%,Los Angeles
Porterville,9.25%,Tulare
Portola Valley,9.38%,San Mateo
Portola,7.25%,Plumas
Portuguese Bend (Rancho Palos Verdes),9.50%,Los Angeles
Posey,7.75%,Tulare
Potrero,7.75%,San Diego
Potter Valley,7.88%,Mendocino
Poway,7.75%,San Diego
Prather,7.98%,Fresno
Presidio (San Francisco),8.63%,San Francisco
Presidio of Monterey (Monterey),9.25%,Monterey
Priest Valley,7.75%,Monterey
Princeton,7.75%,Colusa
Proberta,7.25%,Tehama
Project City,7.25%,Shasta
Prunedale,7.75%,Monterey
Pt. Dume,9.50%,Los Angeles
Pulga,7.25%,Butte
Pumpkin Center,8.25%,Kern
Quail Valley (Menifee),8.75%,Riverside
Quartz Hill,9.50%,Los Angeles
Quincy,7.25%,Plumas
Rackerby,8.25%,Yuba
Rail Road Flat,7.25%,Calaveras
Rainbow,7.75%,San Diego
Raisin City,7.98%,Fresno
Ramona,7.75%,San Diego
Ranchita,7.75%,San Diego
Rancho Bernardo (San Diego),7.75%,San Diego
Rancho California,7.75%,Riverside
Rancho Cordova,8.75%,Sacramento
Rancho Cucamonga,7.75%,San Bernardino
Rancho Dominguez,9.50%,Los Angeles
Rancho Mirage,7.75%,Riverside
Rancho Murieta,7.75%,Sacramento
Rancho Palos Verdes,9.50%,Los Angeles
Rancho Park (Los Angeles),9.50%,Los Angeles
Rancho Santa Fe,7.75%,San Diego
Rancho Santa Margarita,7.75%,Orange
Randsburg,8.25%,Kern
Ravendale,7.25%,Lassen
Ravenna,9.50%,Los Angeles
Raymond,7.75%,Madera
Red Bluff,7.50%,Tehama
Red Mountain,7.75%,San Bernardino
Red Top,7.75%,Madera
Redcrest,7.75%,Humboldt
Redding,7.25%,Shasta
Redlands,8.75%,San Bernardino
Redondo Beach,9.50%,Los Angeles
Redway,7.75%,Humboldt
Redwood City,9.88%,San Mateo
Redwood Estates,9.13%,Santa Clara
Redwood Valley,7.88%,Mendocino
Reedley,9.23%,Fresno
Refugio Beach,7.75%,Santa Barbara
Represa,7.75%,Sacramento
Requa,8.25%,Del Norte
Rescue,7.25%,El Dorado
Reseda (Los Angeles),9.50%,Los Angeles
Rheem Valley (Moraga),9.75%,Contra Costa
Rialto,7.75%,San Bernardino
Richardson Grove,7.75%,Humboldt
Richardson Springs,7.25%,Butte
Richfield,7.25%,Tehama
Richgrove,7.75%,Tulare
Richmond,9.75%,Contra Costa
Richvale,7.25%,Butte
Ridgecrest,9.25%,Kern
Rimforest,7.75%,San Bernardino
Rimpau (Los Angeles),9.50%,Los Angeles
Rio Bravo (Bakersfield),8.25%,Kern
Rio Del Mar,9.00%,Santa Cruz
Rio Dell,8.75%,Humboldt
Rio Linda,7.75%,Sacramento
Rio Nido,8.50%,Sonoma
Rio Oso,7.25%,Sutter
Rio Vista,8.13%,Solano
Ripley,7.75%,Riverside
Ripon,7.75%,San Joaquin
River Pines,7.75%,Amador
Riverbank,7.88%,Stanislaus
Riverdale,7.98%,Fresno
Riverside,8.75%,Riverside
Robbins,7.25%,Sutter
Rocklin,7.25%,Placer
Rodeo,8.75%,Contra Costa
Rohnert Park,9.00%,Sonoma
Rohnerville,7.75%,Humboldt
Rolling Hills Estates,9.50%,Los Angeles
Rolling Hills,9.50%,Los Angeles
Romoland (Menifee),8.75%,Riverside
Rosamond,8.25%,Kern
Rose Bowl (Pasadena),10.25%,Los Angeles
Roseland,8.50%,Sonoma
Rosemead,9.50%,Los Angeles
Roseville,7.75%,Placer
Ross,8.25%,Marin
Rossmoor,7.75%,Orange
Rough and Ready,7.50%,Nevada
Round Mountain,7.25%,Shasta
Rowland Heights,9.50%,Los Angeles
Royal Oaks,7.75%,Monterey
Rubidoux,7.75%,Riverside
Ruby Valley,7.75%,Humboldt
Rumsey,7.25%,Yolo
Running Springs,7.75%,San Bernardino
Ruth,7.25%,Trinity
Rutherford,7.75%,Napa
Ryde,7.75%,Sacramento
Sacramento,8.75%,Sacramento
Saint Helena,8.25%,Napa
Salida,7.88%,Stanislaus
Salinas,9.25%,Monterey
Salton City,7.75%,Imperial
Salyer,7.25%,Trinity
Samoa,7.75%,Humboldt
San Andreas,7.25%,Calaveras
San Anselmo,9.25%,Marin
San Ardo,7.75%,Monterey
San Benito,8.25%,San Benito
San Bernardino,8.75%,San Bernardino
San Bruno,9.88%,San Mateo
San Carlos (San Diego),7.75%,San Diego
San Carlos,9.38%,San Mateo
San Clemente,7.75%,Orange
San Diego,7.75%,San Diego
San Dimas,9.50%,Los Angeles
San Fernando,10.25%,Los Angeles
San Francisco,8.63%,San Francisco
San Gabriel,10.25%,Los Angeles
San Geronimo,8.25%,Marin
San Gregorio,9.38%,San Mateo
San Jacinto,8.75%,Riverside
San Joaquin,7.98%,Fresno
San Jose,9.38%,Santa Clara
San Juan Bautista,9.00%,San Benito
San Juan Capistrano,7.75%,Orange
San Juan Plaza (San Juan Capistrano),7.75%,Orange
San Leandro,10.75%,Alameda
San Lorenzo,10.25%,Alameda
San Lucas,7.75%,Monterey
San Luis Obispo,8.75%,San Luis Obispo
San Luis Rey (Oceanside),8.25%,San Diego
San Marcos,7.75%,San Diego
San Marino,9.50%,Los Angeles
San Martin,9.13%,Santa Clara
San Mateo,9.63%,San Mateo
San Miguel,7.25%,San Luis Obispo
San Pablo,9.50%,Contra Costa
San Pedro (Los Angeles),9.50%,Los Angeles
San Quentin,8.25%,Marin
San Rafael,9.25%,Marin
San Ramon,8.75%,Contra Costa
San Simeon,7.25%,San Luis Obispo
San Tomas,9.13%,Santa Clara
San Ysidro (San Diego),7.75%,San Diego
Sand City,9.25%,Monterey
Sanger,8.73%,Fresno
Santa Ana,9.25%,Orange
Santa Barbara (U.C. Santa Barbara campus rate is 7.75%),8.75%,Santa Barbara
Santa Clara,9.13%,Santa Clara
Santa Clarita,9.50%,Los Angeles
Santa Cruz,9.25%,Santa Cruz
Santa Fe Springs,10.50%,Los Angeles
Santa Margarita,7.25%,San Luis Obispo
Santa Maria,8.75%,Santa Barbara
Santa Monica,10.25%,Los Angeles
Santa Nella,7.75%,Merced
Santa Paula,8.25%,Ventura
Santa Rita Park,7.75%,Merced
Santa Rosa Valley,7.25%,Ventura
Santa Rosa,9.25%,Sonoma
Santa Ynez,7.75%,Santa Barbara
Santa Ysabel,7.75%,San Diego
Santee,7.75%,San Diego
Saratoga,9.13%,Santa Clara
Saticoy,7.25%,Ventura
Sattley,7.25%,Sierra
Saugus (Santa Clarita),9.50%,Los Angeles
Sausalito,9.25%,Marin
Sawtelle (Los Angeles),9.50%,Los Angeles
Sawyers Bar,7.25%,Siskiyou
Scotia,7.75%,Humboldt
Scott Bar,7.25%,Siskiyou
Scotts Valley,9.75%,Santa Cruz
Sea Ranch,8.50%,Sonoma
Seabright (Santa Cruz),9.25%,Santa Cruz
Seal Beach,8.75%,Orange
Seaside,9.25%,Monterey
Sebastopol,9.25%,Sonoma
Seeley,7.75%,Imperial
Seiad Valley,7.25%,Siskiyou
Selby,8.75%,Contra Costa
Selma,8.48%,Fresno
Seminole Hot Springs,9.50%,Los Angeles
Sepulveda (Los Angeles),9.50%,Los Angeles
Sequoia National Park,7.75%,Tulare
Shadow Hills (Los Angeles),9.50%,Los Angeles
Shafter,7.25%,Kern
Shandon,7.25%,San Luis Obispo
Sharpe Army Depot,7.75%,San Joaquin
Shasta,7.25%,Shasta
Shasta Lake,7.25%,Shasta
Shaver Lake,7.98%,Fresno
Sheepranch,7.25%,Calaveras
Shell Beach (Pismo Beach),7.75%,San Luis Obispo
Sheridan,7.25%,Placer
Sherman Island,7.75%,Sacramento
Sherman Oaks (Los Angeles),9.50%,Los Angeles
Sherwin Plaza,7.25%,Mono
Shingle Springs,7.25%,El Dorado
Shingletown,7.25%,Shasta
Shively,7.75%,Humboldt
Shore Acres,8.75%,Contra Costa
Shoshone,7.75%,Inyo
Sierra City,7.25%,Sierra
Sierra Madre,10.25%,Los Angeles
Sierraville,7.25%,Sierra
Signal Hill,10.25%,Los Angeles
Silver Lake,7.75%,Amador
Silverado Canyon,7.75%,Orange
Simi Valley,7.25%,Ventura
Sisquoc,7.75%,Santa Barbara
Sites,7.75%,Colusa
Sky Valley,7.75%,Riverside
Skyforest,7.75%,San Bernardino
Sleepy Valley,9.50%,Los Angeles
Sloat,7.25%,Plumas
Sloughhouse,7.75%,Sacramento
Smartsville,8.25%,Yuba
Smith River,8.25%,Del Norte
Smithflat,7.25%,El Dorado
Smoke Tree (Palm Springs),9.25%,Riverside
Smoke Tree (Twentynine Palms),7.75%,San Bernardino
Snelling,7.75%,Merced
Soda Springs,7.50%,Nevada
Solana Beach,8.75%,San Diego
Soledad,9.25%,Monterey
Solemint,9.50%,Los Angeles
Solvang,8.75%,Santa Barbara
Somerset,7.25%,El Dorado
Somes Bar,7.25%,Siskiyou
Somis,7.25%,Ventura
Sonoma,9.00%,Sonoma
Sonora,8.75%,Tuolumne
Soquel,9.00%,Santa Cruz
Soulsbyville,7.25%,Tuolumne
South Dos Palos,7.75%,Merced
South El Monte,10.25%,Los Angeles
South Fork,7.75%,Humboldt
South Gate,10.25%,Los Angeles
South Laguna (Laguna Beach),7.75%,Orange
South Lake Tahoe,8.75%,El Dorado
South Pasadena,10.25%,Los Angeles
South San Francisco,9.88%,San Mateo
South Shore (Alameda),10.75%,Alameda
South Whittier,9.50%,Los Angeles
Spanish Flat,7.75%,Napa
Spreckels,7.75%,Monterey
Spring Garden,7.25%,Plumas
Spring Valley,7.75%,San Diego
Springville,7.75%,Tulare
Spyrock,7.88%,Mendocino
Squaw Valley,7.98%,Fresno
St. Helena,8.25%,Napa
Standard,7.25%,Tuolumne
Standish,7.25%,Lassen
Stanford,9.13%,Santa Clara
Stanislaus,7.25%,Tuolumne
Stanton,8.75%,Orange
Steele Park,7.75%,Napa
Stevenson Ranch,9.50%,Los Angeles
Stevinson,7.75%,Merced
Stewarts Point,8.50%,Sonoma
Stinson Beach,8.25%,Marin
Stirling City,7.25%,Butte
Stockton,9.00%,San Joaquin
Stonyford,7.75%,Colusa
Storrie,7.25%,Plumas
Stratford,7.25%,Kings
Strathmore,7.75%,Tulare
Strawberry,7.25%,Tuolumne
Strawberry Valley,8.25%,Yuba
Studio City (Los Angeles),9.50%,Los Angeles
Sugarloaf,7.75%,San Bernardino
Suisun City,8.38%,Solano
Sulphur Springs,9.50%,Los Angeles
Sultana,7.75%,Tulare
Summerland,7.75%,Santa Barbara
Summit,7.75%,San Bernardino
Summit City,7.25%,Shasta
Sun City (Menifee),8.75%,Riverside
Sun Valley (Los Angeles),9.50%,Los Angeles
Sunland (Los Angeles),9.50%,Los Angeles
Sunnymead (Moreno Valley),7.75%,Riverside
Sunnyside,7.75%,San Diego
Sunnyvale,9.13%,Santa Clara
Sunol,10.25%,Alameda
Sunset Beach,7.75%,Orange
Sunset Whitney Ranch,7.25%,Placer
Surfside (Seal Beach),8.75%,Orange
Susanville,8.25%,Lassen
Sutter,7.25%,Sutter
Sutter Creek,7.75%,Amador
Swall Meadows (Bishop),8.75%,Inyo
Sylmar (Los Angeles),9.50%,Los Angeles
Taft,8.25%,Kern
Tagus Ranch,7.75%,Tulare
Tahoe City,7.25%,Placer
Tahoe Paradise,7.25%,El Dorado
Tahoe Valley,8.75%,El Dorado
Tahoe Vista,7.25%,Placer
Tahoma,7.25%,Placer
Talmage,7.88%,Mendocino
Tamal,8.25%,Marin
Tarzana (Los Angeles),9.50%,Los Angeles
Taylorsville,7.25%,Plumas
